,Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added[3][4],CIK,Founded
1,3M Company,MMM,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,0000066740,1902
2,Abbott Laboratories,ABT,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,0000001800,1888
3,AbbVie Inc.,ABBV,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,0001551152,2013 (1888)
4,ABIOMED Inc,ABMD,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,0000815094,1981
5,Accenture plc,ACN,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,0001467373,1989
6,Activision Blizzard,ATVI,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,0000718877,2008
7,Adobe Systems Inc,ADBE,reports,Information Technology,Application Software,"San Jose, California",1997-05-05,0000796343,1982
8,Advanced Micro Devices Inc,AMD,reports,Information Technology,Semiconductors,"Sunnyvale, California",2017-03-20,0000002488,1969
9,Advance Auto Parts,AAP,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",2015-07-09,0001158449,1932
10,AES Corp,AES,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,0000874761,1981
11,Affiliated Managers Group Inc,AMG,reports,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",2014-07-01,0001004434,1993
12,AFLAC Inc,AFL,reports,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,0000004977,1955
13,Agilent Technologies Inc,A,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,0001090872,1999
14,Air Products & Chemicals Inc,APD,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,0000002969,1940
15,Akamai Technologies Inc,AKAM,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,0001086222,1998
16,Alaska Air Group Inc,ALK,reports,Industrials,Airlines,"Seattle, Washington",2016-05-13,0000766421,1985
17,Albemarle Corp,ALB,reports,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",2016-07-01,0000915913,1994
18,Alexandria Real Estate Equities Inc,ARE,reports,Real Estate,Office REITs,"Pasadena, California",2017-03-20,0001035443,1994
19,Alexion Pharmaceuticals,ALXN,reports,Health Care,Biotechnology,"Cheshire, Connecticut",2012-05-25,0000899866,1992
20,Align Technology,ALGN,reports,Health Care,Health Care Supplies,"San Jose, California",2017-06-19,0001097149,1997
21,Allegion,ALLE,reports,Industrials,Building Products,"Dublin, Ireland",2013-12-02,0001579241,1908
22,"Allergan, Plc",AGN,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",1999-04-12,0001578845,1983
23,Alliance Data Systems,ADS,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",2013-12-23,0001101215,1996
24,Alliant Energy Corp,LNT,reports,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,0000352541,1917
25,Allstate Corp,ALL,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,0000899051,1931
26,Alphabet Inc Class A,GOOGL,reports,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,0001652044,1998
27,Alphabet Inc Class C,GOOG,reports,Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,0001652044,1998
28,Altria Group Inc,MO,reports,Consumer Staples,Tobacco,"Richmond, Virginia",,0000764180,1985
29,Amazon.com Inc.,AMZN,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,0001018724,1994
30,Ameren Corp,AEE,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,0001002910,1902
31,American Airlines Group,AAL,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,0000006201,1934
32,American Electric Power,AEP,reports,Utilities,Electric Utilities,"Columbus, Ohio",,0000004904,1906
33,American Express Co,AXP,reports,Financials,Consumer Finance,"New York, New York",1976-06-30,0000004962,1850
34,American International Group,AIG,reports,Financials,Property & Casualty Insurance,"New York, New York",1980-03-31,0000005272,1919
35,American Tower Corp.,AMT,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,0001053507,1995
36,American Water Works Company Inc,AWK,reports,Utilities,Water Utilities,"Voorhees, New Jersey",2016-03-04,0001410636,1886
37,Ameriprise Financial,AMP,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,0000820027,1894
38,AmerisourceBergen Corp,ABC,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30,0001140859,1985
39,AMETEK Inc.,AME,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,0001037868,1930
40,Amgen Inc.,AMGN,reports,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,0000318154,1980
41,Amphenol Corp,APH,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,0000820313,1932
42,Anadarko Petroleum Corp,APC,reports,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",1997-07-28,0000773910,1959
43,"Analog Devices, Inc.",ADI,reports,Information Technology,Semiconductors,"Norwood, Massachusetts",1999-10-12,0000006281,1965
44,ANSYS,ANSS,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,0001013462,1969
45,Anthem Inc.,ANTM,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,0001156039,2014 (1940s)
46,Aon plc,AON,reports,Financials,Insurance Brokers,"London, United Kingdom",1996-04-23,0000315293,1982 (1919)
47,A.O. Smith Corp,AOS,reports,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,0000091142,1916
48,Apache Corporation,APA,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,0000006769,1954
49,Apartment Investment & Management (Aimco),AIV,reports,Real Estate,Residential REITs,"Denver, Colorado",2003-03-14,0000922864,1994 (1975)
50,Apple Inc.,AAPL,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,0000320193,1977
51,Applied Materials Inc.,AMAT,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16,0000006951,1967
52,Aptiv Plc,APTV,reports,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",2012-12-24,0001521332,1994
53,Archer-Daniels-Midland Co,ADM,reports,Consumer Staples,Agricultural Products,"Decatur, Illinois",1981-07-29,0000007084,1902
54,Arconic Inc.,ARNC,reports,Industrials,Aerospace & Defense,"New York, New York",1964-03-31,0000004281,2016
55,Arista Networks,ANET,reports,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,0001596532,2004
56,Arthur J. Gallagher & Co.,AJG,reports,Financials,Insurance Brokers,"Itasca, Illinois",2016-05-31,0000354190,
57,Assurant Inc.,AIZ,reports,Financials,Multi-line Insurance,"New York, New York",2007-04-10,0001267238,
58,AT&T Inc.,T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,0000732717,1983
59,Autodesk Inc.,ADSK,reports,Information Technology,Application Software,"San Rafael, California",1989-12-01,0000769397,
60,Automatic Data Processing,ADP,reports,Information Technology,Internet Software & Services,"Roseland, New Jersey",1981-03-31,0000008670,
61,AutoZone Inc,AZO,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1997-01-02,0000866787,
62,"AvalonBay Communities, Inc.",AVB,reports,Real Estate,Residential REITs,"Arlington, Virginia[5]",2007-01-10,0000915912,
63,Avery Dennison Corp,AVY,reports,Materials,Paper Packaging,"Glendale, California",1987-12-31,0000008818,
64,"Baker Hughes, a GE Company",BHGE,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,0001701605,2017
65,Ball Corp,BLL,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984-10-31,0000009389,
66,Bank of America Corp,BAC,reports,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,0000070858,
67,The Bank of New York Mellon Corp.,BK,reports,Financials,Asset Management & Custody Banks,"New York, New York",1995-03-31,0001390777,
68,Baxter International Inc.,BAX,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,0000010456,1931
69,BB&T Corporation,BBT,reports,Financials,Regional Banks,"Winston-Salem, North Carolina",1997-12-04,0000092230,
70,Becton Dickinson,BDX,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,0000010795,1897
71,Berkshire Hathaway,BRK-B,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,0001067983,
72,Best Buy Co. Inc.,BBY,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,0000764478,
73,Biogen Inc.,BIIB,reports,Health Care,Biotechnology,"Weston, Massachusetts",2003-11-13,0000875045,
74,BlackRock,BLK,reports,Financials,Asset Management & Custody Banks,"New York, New York",2011-04-04,0001364742,
75,Block H&R,HRB,reports,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",1986-11-30,0000012659,
76,Boeing Company,BA,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",,0000012927,1916
77,Booking Holdings Inc,BKNG,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",2009-11-06,0001075531,
78,BorgWarner,BWA,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011-12-19,0000908255,
79,Boston Properties,BXP,reports,Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,0001037540,
80,Boston Scientific,BSX,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[6]",1995-02-24,0000885725,
81,Brighthouse Financial Inc,BHF,reports,Financials,Life & Health Insurance,"Charlotte, North Carolina",2017-08-08,0001685040,
82,Bristol-Myers Squibb,BMY,reports,Health Care,Health Care Distributors,"New York, New York",,0000014272,1989
83,Broadcom,AVGO,reports,Information Technology,Semiconductors,"San Jose, California",2014-05-08,0001441634,
84,Broadridge Financial Solutions,BR,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,0001383312,1962
85,Brown-Forman Corp.,BF-B,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,0000014693,
86,C. H. Robinson Worldwide,CHRW,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,0001043277,
87,Cabot Oil & Gas,COG,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,0000858470,
88,Cadence Design Systems,CDNS,reports,Information Technology,Application Software,"San Jose, California",2017-09-18,0000813672,
89,Campbell Soup,CPB,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,0000016732,1869
90,Capital One Financial,COF,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,0000927628,1935
91,Capri Holdings,CPRI,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2013-11-13,0001530721,
92,Cardinal Health Inc.,CAH,reports,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,0000721371,
93,Carmax Inc,KMX,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010-06-28,0001170010,
94,Carnival Corp.,CCL,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,0000815097,
95,Caterpillar Inc.,CAT,reports,Industrials,Construction Machinery & Heavy Trucks,"Peoria, Illinois",,0000018230,1925
96,Cboe Global Markets,CBOE,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,0001374310,
97,CBRE Group,CBRE,reports,Real Estate,Real Estate Services,"Los Angeles, California",2006-11-10,0001138118,
98,CBS Corp.,CBS,reports,Communication Services,Broadcasting,"New York, New York",1994-09-01,0000813828,2006
99,Celanese Corp.,CE,reports,Materials,Specialty Chemicals,"Irving, Texas",2018-12-24,0001306830,
100,Celgene Corp.,CELG,reports,Health Care,Biotechnology,"Summit, New Jersey",2006-11-06,0000816284,
101,Centene Corporation,CNC,reports,Health Care,Managed Health Care,"St Louis, Missouri",2016-03-30,0001071739,
102,CenterPoint Energy,CNP,reports,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,0001130310,
103,CenturyLink Inc,CTL,reports,Communication Services,Integrated Telecommunication Services,"Monroe, Louisiana",1999-03-25,0000018926,
104,Cerner,CERN,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",2010-04-30,0000804753,
105,CF Industries Holdings Inc,CF,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,0001324404,
106,Charles Schwab Corporation,SCHW,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",1997-06-02,0000316709,
107,Charter Communications,CHTR,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,0001091667,
108,Chevron Corp.,CVX,reports,Energy,Integrated Oil & Gas,"San Ramon, California",,0000093410,1879
109,Chipotle Mexican Grill,CMG,reports,Consumer Discretionary,Restaurants,"Denver, Colorado",2011-04-28,0001058090,
110,Chubb Limited,CB,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,0000896159,
111,Church & Dwight,CHD,reports,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,0000313927,
112,CIGNA Corp.,CI,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976-06-30,0000701221,
113,Cimarex Energy,XEC,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",2014-06-21,0001168054,
114,Cincinnati Financial,CINF,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,0000020286,
115,Cintas Corporation,CTAS,reports,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,0000723254,
116,Cisco Systems,CSCO,reports,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,0000858877,
117,Citigroup Inc.,C,reports,Financials,Diversified Banks,"New York, New York",1988-05-31,0000831001,
118,Citizens Financial Group,CFG,reports,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,0000759944,
119,Citrix Systems,CTXS,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",1999-12-01,0000877890,
120,The Clorox Company,CLX,reports,Consumer Staples,Household Products,"Oakland, California",1969-03-31,0000021076,1913
121,CME Group Inc.,CME,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,0001156375,
122,CMS Energy,CMS,reports,Utilities,Multi-Utilities,"Jackson, Michigan",1999-05-03,0000811156,
123,Coca-Cola Company (The),KO,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,0000021344,1886
124,Cognizant Technology Solutions,CTSH,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,0001058290,
125,Colgate-Palmolive,CL,reports,Consumer Staples,Household Products,"New York, New York",,0000021665,1806
126,Comcast Corp.,CMCSA,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2015-09-18,0001166691,
127,Comerica Inc.,CMA,reports,Financials,Diversified Banks,"Dallas, Texas",1995-12-01,0000028412,
128,Conagra Brands,CAG,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,0000023217,
129,Concho Resources,CXO,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2016-02-22,0001358071,
130,ConocoPhillips,COP,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,0001163165,2002
131,Consolidated Edison,ED,reports,Utilities,Electric Utilities,"New York, New York",,0001047862,1823
132,Constellation Brands,STZ,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-05,0000016918,
133,The Cooper Companies,COO,reports,Health Care,Health Care Supplies,"Pleasanton, California",2016-09-23,0000711404,
134,Copart Inc,CPRT,reports,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,0000900075,
135,Corning Inc.,GLW,reports,Information Technology,Electronic Components,"Corning, New York",,0000024741,1851
136,Costco Wholesale Corp.,COST,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993-10-01,0000909832,
137,"Coty, Inc",COTY,reports,Consumer Staples,Personal Products,"New York, New York",2016-10-03,0001024305,
138,Crown Castle International Corp.,CCI,reports,Real Estate,Specialized REITs,"Houston, Texas",2012-03-14,0001051470,
139,CSX Corp.,CSX,reports,Industrials,Railroads,"Jacksonville, Florida",1967-09-30,0000277948,1980
140,Cummins Inc.,CMI,reports,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31,0000026172,1919
141,CVS Health,CVS,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",,0000064803,1996
142,D. R. Horton,DHI,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,0000882184,1978
143,Danaher Corp.,DHR,reports,Health Care,Health Care Equipment,"Washington, D.C.",,0000313616,1969
144,Darden Restaurants,DRI,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,0000940944,1938
145,DaVita Inc.,DVA,reports,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31,0000927066,
146,Deere & Co.,DE,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,0000315189,1837
147,Delta Air Lines Inc.,DAL,reports,Industrials,Airlines,"Atlanta, Georgia",2013-09-11,0000027904,
148,Dentsply Sirona,XRAY,reports,Health Care,Health Care Supplies,"York, Pennsylvania",2008-11-14,0000818479,
149,Devon Energy Corp.,DVN,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,0001090012,
150,Diamondback Energy Inc,FANG,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,0001539838,2007
151,Digital Realty Trust Inc,DLR,reports,Real Estate,Specialized REITs,"San Francisco, California",2016-05-18,0001297996,
152,Discover Financial Services,DFS,reports,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,0001393612,
153,Discovery Inc. Class A,DISCA,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",2010-03-01,0001437107,
154,Discovery Inc. Class C,DISCK,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",2014-08-07,0001437107,
155,Dish Network,DISH,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",2017-03-13,0001001082,
156,Dollar General,DG,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012-12-03,0000029534,
157,Dollar Tree,DLTR,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-19,0000935703,
158,Dominion Energy,D,reports,Utilities,Electric Utilities,"Richmond, Virginia",,0000715957,1983
159,Dover Corp.,DOV,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985-10-31,0000029905,
160,DowDuPont,DWDP,reports,Materials,Diversified Chemicals,"Midland, Michigan",,0001666700,2017
161,DTE Energy Co.,DTE,reports,Utilities,Multi-Utilities,"Detroit, Michigan",,0000936340,1995
162,Duke Realty Corp,DRE,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",2017-07-26,0000783280,
163,Duke Energy,DUK,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,0001326160,
164,DXC Technology,DXC,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017-04-04,0001688568,
165,E*Trade,ETFC,reports,Financials,Investment Banking & Brokerage,"New York, New York",2004-03-31,0001015780,
